2008,6,25,FHN,SELL,100
2008,7,21,FHN,BUY,100
2008,7,28,FHN,SELL,100
2008,9,29,FHN,BUY,100
2008,10,6,FHN,SELL,100
2008,10,9,FHN,BUY,100
2008,10,16,FHN,SELL,100
2008,11,20,FHN,BUY,100
2008,11,28,FHN,SELL,100
2009,1,15,FHN,BUY,100
2009,1,23,FHN,SELL,100
2009,3,6,FHN,BUY,100
2009,3,13,FHN,SELL,100
2008,11,20,FITB,BUY,100
2008,11,28,FITB,SELL,100
2008,12,3,FITB,BUY,100
2008,12,10,FITB,SELL,100
2008,12,9,FITB,BUY,100
2008,12,16,FITB,SELL,100
2009,1,7,FITB,BUY,100
2009,1,14,FITB,SELL,100
2009,1,9,FITB,BUY,100
2009,1,16,FITB,SELL,100
2009,5,13,FITB,BUY,100
2009,5,20,FITB,SELL,100
2009,6,15,FITB,BUY,100
2009,6,22,FITB,SELL,100
2008,10,24,FTR,BUY,100
2008,10,31,FTR,SELL,100
2008,11,19,FTR,BUY,100
2008,11,26,FTR,SELL,100
2008,12,1,FTR,BUY,100
2008,12,8,FTR,SELL,100
2009,1,14,FTR,BUY,100
2009,1,22,FTR,SELL,100
2009,2,17,FTR,BUY,100
2009,2,24,FTR,SELL,100
2009,12,9,FTR,BUY,100
2009,12,16,FTR,SELL,100
2008,11,17,GCI,BUY,100
2008,11,24,GCI,SELL,100
2008,12,11,GCI,BUY,100
2008,12,18,GCI,SELL,100
2008,12,18,GCI,BUY,100
2008,12,26,GCI,SELL,100
2009,1,14,GCI,BUY,100
2009,1,22,GCI,SELL,100
2009,8,11,GCI,BUY,100
2009,8,18,GCI,SELL,100
2009,8,17,GCI,BUY,100
2009,8,24,GCI,SELL,100
2009,9,2,GCI,BUY,100
2009,9,10,GCI,SELL,100
2009,9,8,GCI,BUY,100
2009,9,15,GCI,SELL,100
2009,3,2,GE,BUY,100
2009,3,9,GE,SELL,100
2008,11,20,GLW,BUY,100
2008,11,28,GLW,SELL,100
2008,9,29,GNW,BUY,100
2008,10,6,GNW,SELL,100
2008,10,1,GNW,BUY,100
2008,10,8,GNW,SELL,100
2009,8,17,GNW,BUY,100
2009,8,24,GNW,SELL,100
2008,10,27,GT,BUY,100
2008,11,3,GT,SELL,100
2008,11,6,GT,BUY,100
2008,11,13,GT,SELL,100
2008,6,9,HBAN,BUY,100
2008,6,16,HBAN,SELL,100
2008,8,12,HBAN,BUY,100
2008,8,19,HBAN,SELL,100
2008,9,4,HBAN,BUY,100
2008,9,11,HBAN,SELL,100
2008,9,29,HBAN,BUY,100
2008,10,6,HBAN,SELL,100
2008,10,9,HBAN,BUY,100
2008,10,16,HBAN,SELL,100
2008,11,12,HBAN,BUY,100
2008,11,19,HBAN,SELL,100
2008,11,14,HBAN,BUY,100
2008,11,21,HBAN,SELL,100
2008,12,1,HBAN,BUY,100
2008,12,8,HBAN,SELL,100
2008,12,9,HBAN,BUY,100
2008,12,16,HBAN,SELL,100
2008,11,19,HIG,BUY,100
2008,11,26,HIG,SELL,100
2008,12,1,HIG,BUY,100
2008,12,8,HIG,SELL,100
2009,2,19,HIG,BUY,100
2009,2,26,HIG,SELL,100
2009,2,25,HIG,BUY,100
2009,3,4,HIG,SELL,100
2009,3,20,HIG,BUY,100
2009,3,27,HIG,SELL,100
2009,3,30,HIG,BUY,100
2009,4,6,HIG,SELL,100
2008,10,9,HST,BUY,100
2008,10,16,HST,SELL,100
2008,10,24,HST,BUY,100
2008,10,31,HST,SELL,100
2008,11,10,HST,BUY,100
2008,11,17,HST,SELL,100
2008,11,12,HST,BUY,100
2008,11,19,HST,SELL,100
2008,11,14,HST,BUY,100
2008,11,21,HST,SELL,100
2008,12,9,HST,BUY,100
2008,12,16,HST,SELL,100
2008,12,18,HST,BUY,100
2008,12,26,HST,SELL,100
2009,1,7,HST,BUY,100
2009,1,14,HST,SELL,100
2009,5,13,HST,BUY,100
2009,5,20,HST,SELL,100
2009,5,15,HST,BUY,100
2009,5,22,HST,SELL,100
2009,6,18,HST,BUY,100
2009,6,25,HST,SELL,100
2009,7,2,HST,BUY,100
2009,7,10,HST,SELL,100
2009,7,7,HST,BUY,100
2009,7,14,HST,SELL,100
2008,11,20,IGT,BUY,100
2008,11,28,IGT,SELL,100
2009,3,5,IGT,BUY,100
2009,3,12,IGT,SELL,100
2009,2,4,IP,BUY,100
2009,2,11,IP,SELL,100
2009,2,10,IP,BUY,100
2009,2,18,IP,SELL,100
2009,3,30,IP,BUY,100
2009,4,6,IP,SELL,100
2009,4,3,IP,BUY,100
2009,4,13,IP,SELL,100
2009,4,20,IP,BUY,100
2009,4,27,IP,SELL,100
2008,4,15,IPG,BUY,100
2008,4,22,IPG,SELL,100
2008,7,9,IPG,BUY,100
2008,7,16,IPG,SELL,100
2008,7,24,IPG,BUY,100
2008,7,31,IPG,SELL,100
2008,9,17,IPG,BUY,100
2008,9,24,IPG,SELL,100
2008,9,23,IPG,BUY,100
2008,9,30,IPG,SELL,100
2008,9,29,IPG,BUY,100
2008,10,6,IPG,SELL,100
2008,10,7,JBL,BUY,100
2008,10,14,JBL,SELL,100
2008,10,23,JBL,BUY,100
2008,10,30,JBL,SELL,100
2008,11,10,JBL,BUY,100
2008,11,17,JBL,SELL,100
2009,5,12,JBL,BUY,100
2009,5,19,JBL,SELL,100
2009,5,21,JBL,BUY,100
2009,5,29,JBL,SELL,100
2009,6,9,JBL,BUY,100
2009,6,16,JBL,SELL,100
2008,9,29,JDSU,BUY,100
2008,10,6,JDSU,SELL,100
2008,10,2,JDSU,BUY,100
2008,10,9,JDSU,SELL,100
2009,12,11,JDSU,BUY,100
2009,12,18,JDSU,SELL,100
2009,12,15,JDSU,BUY,100
2009,12,22,JDSU,SELL,100
2008,11,21,JWN,BUY,100
2008,12,1,JWN,SELL,100
2008,10,9,KEY,BUY,100
2008,10,16,KEY,SELL,100
2008,11,19,KEY,BUY,100
2008,11,26,KEY,SELL,100
2008,12,1,KEY,BUY,100
2008,12,8,KEY,SELL,100
2008,12,11,KEY,BUY,100
2008,12,18,KEY,SELL,100
